Episode,Reward
1,-143.33896605973132
2,-97.99751715362072
3,-178.4902093198616
4,-132.51298062037677
5,-114.72140013054013
6,-246.79145301680546
7,-175.81301023811102
8,-18.612244430929422
9,-329.91351232049055
10,-40.147196624428034
11,-92.41550670191646
12,-92.4439527830109
13,-113.00267268065363
14,-151.20352874067612
15,-573.4836125262082
16,-262.907060444355
17,-152.76432479545474
18,-122.67118950653821
19,-127.88756063580513
20,-113.61532531725243
21,-475.71679989621043
22,-294.35608426923864
23,-229.67009955644608
24,-226.25011629378423
25,-85.99310893192887
26,-150.1807697955519
27,-268.7633294276893
28,-372.07966231927276
29,-172.8932533506304
30,-285.1779523938894
31,-195.68467452004552
32,-234.61438910849392
33,-105.71561041695531
34,-59.93228388018906
35,-233.51979322370607
36,-71.66661984473467
37,-141.37794427387416
38,-369.2001056354493
39,-426.9019558429718
40,-245.99516728520393
41,-102.143096011132
42,-248.15824483335018
43,-186.44488255679607
44,-183.50794505601516
45,-32.69462209939957
46,-19.66507002711296
47,-95.10150827467442
48,-106.66319299861789
49,-278.8737561311573
50,-200.33113081753254
51,-328.9148096218705
52,-357.37552618514746
53,-215.02964904531837
54,-95.18990349210799
55,-299.22192147374153
56,-149.4683933313936
57,-116.9905242677778
58,-91.39280552975833
59,-256.9909513518214
60,-165.01367956027389
61,-101.47881675511599
62,-124.86955217993818
63,-391.437263536267
64,-247.6106525287032
65,-474.89309476315975
66,-240.8210124205798
67,-109.96798238903284
68,-340.0850380342454
69,-324.15922333300114
70,-363.33828699588776
71,-381.50746631622314
72,-225.90459840465337
73,-212.66015065833926
74,-331.2451431164518
75,-68.30748991854489
76,-279.9905162602663
77,-185.33818899467587
78,-304.4910941720009
79,-352.3496220856905
80,-516.8581800591201
81,-179.77549536526203
82,-272.8717183470726
83,-196.56709787249565
84,-248.06497083604336
85,-251.469358086586
86,-157.15690306620672
87,-67.49583996646106
88,8.019044367596507
89,-69.19529197791599
90,-109.42625329270959
91,-58.81992629729211
92,-326.1443764939904
93,-79.6015142025426
94,-221.1986829638481
95,-190.3331025969237
96,-196.2266905233264
97,-196.34694730397314
98,-338.67357190698385
99,-88.42064555501565
100,-19.60236028023064
101,-89.21412141877227
102,-133.64912707520125
103,-45.5577455740422
104,-214.95954594016075
105,-111.28407428739592
106,-116.53174690157175
107,-125.89891659840941
108,-58.626762598752975
109,-56.3745979485102
110,-4.451476534071844
111,13.151020987686934
112,-47.24335731938481
113,16.252755983907264
114,7.067589141544886
115,-6.204529243550496
116,-19.826331585034495
117,-171.55350345527404
118,100.86070666904561
119,-78.58236312156077
120,-25.049878550460562
121,-36.799717707093805
122,-49.11665002629161
123,-42.26428428362124
124,-47.0003867209889
125,-48.451000104658306
126,-21.46245818445459
127,-48.5009227283299
128,-63.68128107790835
129,-72.37568154511973
130,-44.68584134802222
131,-34.47850787069183
132,-14.395599939693057
133,-172.74811939476058
134,-15.233451959589729
135,-69.74287578315125
136,-58.03155254491139
137,-22.291333657500218
138,10.235596056329086
139,-89.05353149634902
140,-63.13693432172295
141,-25.987752431770787
142,-20.77601491380483
143,-34.48709900712129
144,-23.857970038312487
145,-83.39420278833131
146,-37.97845459042583
147,-54.98765360953985
148,-51.16220885943039
149,-75.14800901524723
150,-128.53710415796377
151,-45.417360723018646
152,-5.918403821066022
153,-288.4190495396033
154,-77.55528186634183
155,-41.3046768825734
156,19.089651055197464
157,-52.01061406545341
158,-38.14419524272671
159,-12.404405695386231
160,-25.13281922598253
161,1.3132521089864895
162,-9.049919330514967
163,-56.67538096755743
164,-4.037388902448583
165,-43.85684544232208
166,-63.259630204876885
167,-65.14933171187295
168,47.441839095787145
169,-50.94730922265444
170,-77.9865703433752
171,-25.517600654296984
172,-117.31946049700491
173,-60.16324430285022
174,-9.326289695687592
175,-0.9212164394557476
176,5.472396167227998
177,-28.912462028907612
178,-5.586549136311078
179,-18.647657477064058
180,-19.611762518645264
181,10.735494544780522
182,-46.47739807216567
183,-37.830737675620185
184,-14.146871383012694
185,-75.36526860977756
186,-52.83777324878611
187,-48.36554683907889
188,-16.15334572345273
189,12.677631148602813
190,-71.92682410427369
191,-79.00959305511788
192,-48.15789161482826
193,-19.58138406649232
194,243.09436389948522
195,-17.132953109161463
196,29.77980820510129
197,-110.29626132082194
198,-61.55017261323519
